team,season,abbreviation,w,playoffs,Team_Season,Total_Salary,Mean_Salary,Median_Salary,STD_Salary
Denver Nuggets,2010,DEN,53.0,True,DEN-2010,73313174,5236655.285714285,1775548.5,5797938.0334515665
Detroit Pistons,2010,DET,27.0,False,DET-2010,57810347,3854023.1333333333,1805040.0,3914348.8149416167
Golden State Warriors,2010,GSW,26.0,False,GSW-2010,47337369,2958585.5625,1300248.5,3520607.809804134
Houston Rockets,2010,HOU,42.0,False,HOU-2010,49756513,3827424.076923077,2314815.0,4194019.3895327398
Indiana Pacers,2010,IND,32.0,False,IND-2010,59933873,4280990.928571428,2217080.0,3931336.1132418597
Los Angeles Clippers,2010,LAC,29.0,False,LAC-2010,57304611,3581538.1875,2350000.0,3732027.900575186
Los Angeles Lakers,2010,LAL,57.0,True,LAL-2010,92077486,6576963.285714285,5024000.0,6528694.7298995545
Memphis Grizzlies,2010,MEM,40.0,False,MEM-2010,53718475,2685923.75,1339129.5,3489354.726507359
Miami Heat,2010,MIA,47.0,True,MIA-2010,79987798,5332519.866666666,2887165.0,6523314.065298655
Milwaukee Bucks,2010,MIL,46.0,True,MIL-2010,68135191,4542346.066666666,3500000.0,4398651.3949843515
Minnesota Timberwolves,2010,MIN,15.0,False,MIN-2010,45643809,2852738.0625,2628033.5,2708484.842253087
New York Knicks,2010,NYK,29.0,False,NYK-2010,92220711,4191850.5,1869360.0,5284105.521321544
Oklahoma City Thunder,2010,OKC,50.0,True,OKC-2010,44669186,2791824.125,1939914.0,2349415.686278154
Orlando Magic,2010,ORL,59.0,True,ORL-2010,82060953,6312381.0,4000000.0,6187426.218254175
Philadelphia 76ers,2010,PHI,27.0,False,PHI-2010,72299460,4518716.25,1902700.0,4656474.134542952
Portland Trail Blazers,2010,POR,50.0,True,POR-2010,57110033,2855501.65,1654200.0,2788572.644321959
Sacramento Kings,2010,SAC,25.0,False,SAC-2010,58978718,3104143.052631579,2035920.0,2989763.161009385
San Antonio Spurs,2010,SAS,50.0,True,SAS-2010,83275132,5204695.75,2878250.0,6362412.885286613
Toronto Raptors,2010,TOR,40.0,False,TOR-2010,68019258,4534617.2,3941667.0,4091461.3654618426
Utah Jazz,2010,UTA,53.0,True,UTA-2010,73356503,4890433.533333333,1318920.0,5561137.801559316
Washington Wizards,2010,WAS,26.0,False,WAS-2010,94737087,3789483.48,1714800.0,4483171.112226721
Atlanta Hawks,2009,ATL,47.0,True,ATL-2009,68992109,4312006.8125,2285840.0,4779425.298195732
Boston Celtics,2009,BOS,62.0,True,BOS-2009,100827179,6721811.933333334,2500000.0,8799109.138207681
Charlotte Bobcats,2009,CHA,35.0,False,CHA-2009,88880502,3703354.25,2434993.5,3555617.2615213566
Chicago Bulls,2009,CHI,41.0,True,CHI-2009,38978459,4330939.888888889,3749880.0,3617494.120841506
Cleveland Cavaliers,2009,CLE,66.0,True,CLE-2009,91160252,5697515.75,4175000.0,5260151.035613059
Dallas Mavericks,2009,DAL,50.0,True,DAL-2009,89830407,6416457.642857143,2796056.0,6793552.109411287
Denver Nuggets,2009,DEN,54.0,True,DEN-2009,51757283,3981329.4615384615,797581.0,5302436.32776168
Detroit Pistons,2009,DET,39.0,True,DET-2009,82134287,5866734.785714285,2833333.5,6310488.086640832
Golden State Warriors,2009,GSW,29.0,False,GSW-2009,55335384,3074188.0,1540360.0,3412322.0859564412
Houston Rockets,2009,HOU,53.0,True,HOU-2009,66047420,4403161.333333333,1910000.0,5877406.395595104
Indiana Pacers,2009,IND,36.0,False,IND-2009,61716439,4114429.2666666666,2272860.0,3443352.913019237
Los Angeles Clippers,2009,LAC,19.0,False,LAC-2009,55446274,3261545.529411765,1262275.0,3892317.7349007796
Los Angeles Lakers,2009,LAL,65.0,True,LAL-2009,76586593,5470470.928571428,2934650.0,6508206.154685512
Memphis Grizzlies,2009,MEM,24.0,False,MEM-2009,43904982,2744061.375,2349251.0,2001768.2655727451
Miami Heat,2009,MIA,43.0,True,MIA-2009,48527130,3466223.5714285714,1617789.0,3982213.06748009
Milwaukee Bucks,2009,MIL,34.0,False,MIL-2009,66216660,4729761.428571428,3401265.0,4686136.136941157
Minnesota Timberwolves,2009,MIN,24.0,False,MIN-2009,64617117,4307807.8,2815560.0,3222622.923946473
New York Knicks,2009,NYK,32.0,False,NYK-2009,99206577,5221398.7894736845,5585000.0,4435214.142980467
Oklahoma City Thunder,2009,OKC,23.0,False,OKC-2009,69399176,3304722.6666666665,3240000.0,2208797.792420513
Orlando Magic,2009,ORL,59.0,True,ORL-2009,76357277,4772329.8125,3032500.0,4632711.860318061
Philadelphia 76ers,2009,PHI,41.0,True,PHI-2009,65916162,5070474.0,3388000.0,4812966.957312056
Portland Trail Blazers,2009,POR,54.0,True,POR-2009,53532314,3568820.933333333,3163769.0,3085381.0026512695
Sacramento Kings,2009,SAC,17.0,False,SAC-2009,86422776,4321138.8,3154291.5,3206620.2243892015
San Antonio Spurs,2009,SAS,54.0,True,SAS-2009,71626200,3769800.0,1410441.0,5101416.620351383
Toronto Raptors,2009,TOR,33.0,False,TOR-2009,93079062,5171059.0,2824592.0,6311785.369880492
Utah Jazz,2009,UTA,48.0,True,UTA-2009,73349844,4314696.705882353,2074302.0,4193216.4309459655
Washington Wizards,2009,WAS,19.0,False,WAS-2009,76729300,4513488.235294118,3616072.0,3989914.2863252796
Atlanta Hawks,2008,ATL,37.0,True,ATL-2008,38116186,3811618.6,2994671.5,3894020.4964187853
Boston Celtics,2008,BOS,66.0,True,BOS-2008,74585403,4972360.2,1500000.0,7394278.1243372345
Charlotte Bobcats,2008,CHA,32.0,False,CHA-2008,57356977,3373939.8235294116,2376000.0,3168370.8047746564
Chicago Bulls,2008,CHI,33.0,False,CHI-2008,41855975,3487997.9166666665,2691700.0,3338433.12076109
Cleveland Cavaliers,2008,CLE,45.0,True,CLE-2008,88669877,5215875.117647059,4250000.0,4866777.103628885
Dallas Mavericks,2008,DAL,51.0,True,DAL-2008,58517315,5851731.5,4559555.5,5405538.581206487
Denver Nuggets,2008,DEN,50.0,True,DEN-2008,83201519,5200094.9375,2567033.5,5819929.450129963
Detroit Pistons,2008,DET,59.0,True,DET-2008,58688830,4890735.833333333,2958333.5,4376410.189916448
Golden State Warriors,2008,GSW,48.0,False,GSW-2008,55126427,3445401.6875,2269740.0,4135209.38594251
Houston Rockets,2008,HOU,55.0,True,HOU-2008,75984000,3618285.714285714,2208960.0,4577427.144153811
Indiana Pacers,2008,IND,36.0,False,IND-2008,66595936,4162246.0,1625558.0,5109705.192049459
Los Angeles Clippers,2008,LAC,23.0,False,LAC-2008,61266474,3224551.263157895,1276320.0,4056069.537949596
Los Angeles Lakers,2008,LAL,57.0,True,LAL-2008,56137821,4318293.923076923,2172000.0,5744435.884843748
Memphis Grizzlies,2008,MEM,22.0,False,MEM-2008,75642772,3782138.6,1893600.0,3846254.522703947
Miami Heat,2008,MIA,15.0,False,MIA-2008,53716806,2984267.0,985564.0,3851687.843658704
Milwaukee Bucks,2008,MIL,26.0,False,MIL-2008,63088469,3943029.3125,2888880.0,3898779.469920105
Minnesota Timberwolves,2008,MIN,22.0,False,MIN-2008,44522430,2343285.789473684,2358433.0,2011866.5526589858
New York Knicks,2008,NYK,23.0,False,NYK-2008,86248142,5390508.875,4466100.0,5272448.344644157
Orlando Magic,2008,ORL,52.0,True,ORL-2008,61010853,3813178.3125,3300000.0,3441592.942270942
Philadelphia 76ers,2008,PHI,40.0,True,PHI-2008,42670161,2844677.4,1547760.0,3105447.127731294
Portland Trail Blazers,2008,POR,41.0,False,POR-2008,58598498,3662406.125,2937040.0,3171054.2875225977
Sacramento Kings,2008,SAC,38.0,False,SAC-2008,76123429,3624925.1904761903,2028600.0,3887467.0653472245
San Antonio Spurs,2008,SAS,56.0,True,SAS-2008,61375970,3835998.125,2525000.0,5077188.321289003
Toronto Raptors,2008,TOR,41.0,True,TOR-2008,62430150,3672361.7647058824,2522913.0,3422231.08318067
Utah Jazz,2008,UTA,54.0,True,UTA-2008,59892974,3992864.933333333,2300000.0,4269512.726139591
Washington Wizards,2008,WAS,43.0,True,WAS-2008,70336427,4396026.6875,2913777.0,4562122.889044028
Atlanta Hawks,2007,ATL,30.0,False,ATL-2007,57828414,3855227.6,2952840.0,4021061.79908594
Boston Celtics,2007,BOS,24.0,False,BOS-2007,64965789,4060361.8125,1482660.0,5153350.591791522
Charlotte Bobcats,2007,CHA,33.0,False,CHA-2007,45940805,2552266.9444444445,2475000.0,1563544.621056139
Chicago Bulls,2007,CHI,49.0,True,CHI-2007,73194833,4066379.611111111,2655698.0,4706966.045565434
Cleveland Cavaliers,2007,CLE,50.0,True,CLE-2007,76355740,4772233.75,3540364.0,4230188.457247825
Dallas Mavericks,2007,DAL,67.0,True,DAL-2007,84211119,4678395.5,2319000.0,4873396.300066602
Denver Nuggets,2007,DEN,45.0,True,DEN-2007,46763174,3597167.230769231,1387560.0,3893867.9987612613
Detroit Pistons,2007,DET,53.0,True,DET-2007,57510718,4107908.4285714286,2875000.0,3631586.0106842853
Golden State Warriors,2007,GSW,42.0,True,GSW-2007,59472678,4956056.5,2109408.5,5612119.643037404
Houston Rockets,2007,HOU,52.0,True,HOU-2007,76758849,5117256.6,2210000.0,5690456.496473645
Indiana Pacers,2007,IND,35.0,False,IND-2007,81585398,4079269.9,1853400.0,4266892.616857081
Los Angeles Clippers,2007,LAC,40.0,False,LAC-2007,65903388,4118961.75,3365883.5,3924609.2504460025
Los Angeles Lakers,2007,LAL,42.0,True,LAL-2007,92319215,5430542.05882353,2030280.0,5965208.316887113
Memphis Grizzlies,2007,MEM,22.0,False,MEM-2007,62458319,3287279.947368421,1886113.0,3825968.4135072473
Miami Heat,2007,MIA,44.0,True,MIA-2007,62755821,4183721.4,2500000.0,5137716.348408319
Milwaukee Bucks,2007,MIL,28.0,False,MIL-2007,57611028,3200612.6666666665,1625000.0,3557094.279533028
Minnesota Timberwolves,2007,MIN,32.0,False,MIN-2007,88708876,5544304.75,3525000.0,6409581.365009725
New York Knicks,2007,NYK,33.0,False,NYK-2007,81313566,5420904.4,5215000.0,5215750.232170095
Orlando Magic,2007,ORL,40.0,True,ORL-2007,61038280,3814892.5,3224000.0,3951973.7224193
Philadelphia 76ers,2007,PHI,35.0,False,PHI-2007,79183313,4948957.0625,2912000.0,5581237.0362915
Portland Trail Blazers,2007,POR,32.0,False,POR-2007,85848132,5365508.25,3403740.0,4447460.477632053
Sacramento Kings,2007,SAC,33.0,False,SAC-2007,64543813,4033988.3125,3105152.0,3762686.4295976395
San Antonio Spurs,2007,SAS,58.0,True,SAS-2007,62023833,4430273.785714285,2944500.0,4572362.410269658
Toronto Raptors,2007,TOR,47.0,True,TOR-2007,44999212,2647012.470588235,2550000.0,1949355.1811544672
Utah Jazz,2007,UTA,51.0,True,UTA-2007,60910107,3806881.6875,2510449.0,3992812.7512789564
Washington Wizards,2007,WAS,41.0,True,WAS-2007,78153820,4341878.888888889,2183863.5,4892072.313302542
Atlanta Hawks,2006,ATL,26.0,False,ATL-2006,38198405,3183200.4166666665,2118600.0,3393676.2261150978
Boston Celtics,2006,BOS,33.0,False,BOS-2006,35817525,3256138.6363636362,1253040.0,4546145.632001867
Charlotte Bobcats,2006,CHA,26.0,False,CHA-2006,34282304,2142644.0,1945312.5,1477677.9937435174
Chicago Bulls,2006,CHI,41.0,True,CHI-2006,35923600,2763353.846153846,2513880.0,1888388.6637059052
Cleveland Cavaliers,2006,CLE,50.0,True,CLE-2006,49820611,3832354.6923076925,3596924.0,3055706.4510234618
Dallas Mavericks,2006,DAL,60.0,True,DAL-2006,75624360,4726522.5,2473720.0,4874615.733667903
Denver Nuggets,2006,DEN,44.0,True,DEN-2006,47217235,3934769.5833333335,2894944.5,3577269.602711859
Detroit Pistons,2006,DET,64.0,True,DET-2006,51908979,3707784.214285714,2344057.5,3317685.5087223817
Golden State Warriors,2006,GSW,34.0,False,GSW-2006,56958952,4381457.846153846,1988160.0,3986995.9696523994
Houston Rockets,2006,HOU,34.0,False,HOU-2006,55617306,3972664.714285714,3685000.0,3891688.6536525986
Indiana Pacers,2006,IND,41.0,True,IND-2006,65601708,5046285.230769231,5000000.0,4169842.1766870497
Los Angeles Clippers,2006,LAC,47.0,True,LAC-2006,70143654,4676243.6,3000000.0,4726457.06612786
Los Angeles Lakers,2006,LAL,45.0,True,LAL-2006,56530550,3768703.3333333335,1888680.0,4563291.675288913
Memphis Grizzlies,2006,MEM,49.0,True,MEM-2006,68967633,4597842.2,4250000.0,4102802.9257494924
Miami Heat,2006,MIA,52.0,True,MIA-2006,59512936,3719558.5,1454320.0,4955696.858431718
Milwaukee Bucks,2006,MIL,40.0,True,MIL-2006,56029759,3735317.2666666666,2177114.0,3495485.0319235376
Minnesota Timberwolves,2006,MIN,33.0,False,MIN-2006,72341361,4018964.5,2250000.0,4448414.1883688
New York Knicks,2006,NYK,23.0,False,NYK-2006,63866351,5322195.916666667,5740000.0,4669330.52380211
Orlando Magic,2006,ORL,36.0,False,ORL-2006,91980866,4841098.2105263155,3231250.0,5022158.413750534
Philadelphia 76ers,2006,PHI,38.0,False,PHI-2006,71237452,4749163.466666667,2058000.0,6043942.6280931635
Portland Trail Blazers,2006,POR,21.0,False,POR-2006,53376814,3558454.2666666666,1676280.0,3672968.492954448
Sacramento Kings,2006,SAC,44.0,True,SAC-2006,72379249,4825283.266666667,5000000.0,3639777.879233046
San Antonio Spurs,2006,SAS,63.0,True,SAS-2006,62304030,4792617.692307692,3375000.0,4187698.0751452902
Toronto Raptors,2006,TOR,27.0,False,TOR-2006,67305147,4206571.6875,2854440.0,4394699.827572295
Utah Jazz,2006,UTA,41.0,False,UTA-2006,56007008,3733800.533333333,1700000.0,3691254.538253644
Washington Wizards,2006,WAS,42.0,True,WAS-2006,50055857,3575418.3571428573,2222452.0,4004476.889815075
Atlanta Hawks,2005,ATL,13.0,False,ATL-2005,10899000,3633000.0,3150000.0,1015636.2537838042
Charlotte Bobcats,2005,CHA,18.0,False,CHA-2005,8815000,2938333.3333333335,1554000.0,2552556.822743293
Chicago Bulls,2005,CHI,47.0,True,CHI-2005,15150000,7575000.0,7575000.0,6257895.013500946
Cleveland Cavaliers,2005,CLE,42.0,False,CLE-2005,22195000,7398333.333333333,4875000.0,6352687.095500087
Dallas Mavericks,2005,DAL,58.0,True,DAL-2005,43701000,8740200.0,8105000.0,3436959.077440405
Denver Nuggets,2005,DEN,49.0,True,DEN-2005,18536000,6178666.666666667,6667000.0,1864106.3095578356
Golden State Warriors,2005,GSW,34.0,False,GSW-2005,10103000,2525750.0,2435500.0,332481.9543975282
Houston Rockets,2005,HOU,51.0,True,HOU-2005,40070000,13356666.666666666,14487000.0,6961666.203814525
Indiana Pacers,2005,IND,44.0,True,IND-2005,15606000,5202000.0,5792000.0,3391708.124234749
Los Angeles Clippers,2005,LAC,37.0,False,LAC-2005,12086000,6043000.0,6043000.0,5337241.984396061
Los Angeles Lakers,2005,LAL,34.0,False,LAL-2005,35956000,8989000.0,8773000.0,5795517.865845409
Memphis Grizzlies,2005,MEM,45.0,True,MEM-2005,27506000,4584333.333333333,4400000.0,1773831.2959993312
Miami Heat,2005,MIA,59.0,True,MIA-2005,52055000,13013750.0,9759000.0,11799937.185567275
Milwaukee Bucks,2005,MIL,30.0,False,MIL-2005,33881000,6776200.0,5899000.0,4506566.3980463
Minnesota Timberwolves,2005,MIN,44.0,False,MIN-2005,19774000,6591333.333333333,2937000.0,6966796.705325435
New York Knicks,2005,NYK,33.0,False,NYK-2005,108616000,9874181.818181818,8450000.0,5085715.816248128
Orlando Magic,2005,ORL,36.0,False,ORL-2005,32444000,6488800.0,4800000.0,4992455.7784721535
Philadelphia 76ers,2005,PHI,43.0,True,PHI-2005,37582000,6263666.666666667,4862500.0,4920942.050732427
Portland Trail Blazers,2005,POR,27.0,False,POR-2005,77915000,8657222.222222222,8444000.0,4947711.763476571
Sacramento Kings,2005,SAC,50.0,True,SAC-2005,47619000,6802714.285714285,5883000.0,5006203.0427023135
San Antonio Spurs,2005,SAS,59.0,True,SAS-2005,19815000,6605000.0,6270000.0,5235544.384302362
Toronto Raptors,2005,TOR,33.0,False,TOR-2005,41218000,6869666.666666667,4012500.0,5508918.066795573
Utah Jazz,2005,UTA,26.0,False,UTA-2005,8047000,4023500.0,4023500.0,3325523.191920333
Washington Wizards,2005,WAS,45.0,True,WAS-2005,8404000,4202000.0,4202000.0,1639073.5187904171
Atlanta Hawks,2004,ATL,28.0,False,ATL-2004,15724000,3931000.0,2966500.0,2533275.2186316694
Chicago Bulls,2004,CHI,23.0,False,CHI-2004,12549000,4183000.0,3726000.0,1876706.4234983586
Cleveland Cavaliers,2004,CLE,35.0,False,CLE-2004,36772000,4596500.0,3611500.0,3848334.704778159
Dallas Mavericks,2004,DAL,52.0,True,DAL-2004,47615000,6802142.857142857,5428000.0,4746441.524221819
Denver Nuggets,2004,DEN,43.0,True,DEN-2004,12515000,4171666.6666666665,3317000.0,2752388.477910292
Detroit Pistons,2004,DET,54.0,True,DET-2004,31662000,4523142.857142857,4200000.0,1059010.769314368
Golden State Warriors,2004,GSW,37.0,False,GSW-2004,31413000,5235500.0,4922500.0,3595754.983310181
Houston Rockets,2004,HOU,45.0,True,HOU-2004,32939000,5489833.333333333,5556500.0,2056325.3066250647
Indiana Pacers,2004,IND,61.0,True,IND-2004,23861000,3408714.285714286,2676000.0,2478076.85610473
Los Angeles Clippers,2004,LAC,28.0,False,LAC-2004,23526000,3921000.0,2559000.0,3387092.440427335
Los Angeles Lakers,2004,LAL,56.0,True,LAL-2004,52767000,8794500.0,3774500.0,9668143.622226553
Memphis Grizzlies,2004,MEM,50.0,True,MEM-2004,38224000,4247111.111111111,3417000.0,2099114.363514078
Miami Heat,2004,MIA,42.0,True,MIA-2004,32171000,8042750.0,8463000.0,4942345.419939809
Milwaukee Bucks,2004,MIL,41.0,True,MIL-2004,17766000,4441500.0,3909000.0,2873811.0005125017
Minnesota Timberwolves,2004,MIN,58.0,True,MIN-2004,49823000,8303833.333333333,3131000.0,10731929.936719988
New York Knicks,2004,NYK,39.0,True,NYK-2004,107898000,8299846.153846154,5700000.0,5409110.938132592
Orlando Magic,2004,ORL,21.0,False,ORL-2004,16904000,8452000.0,8452000.0,6826408.86557493
Philadelphia 76ers,2004,PHI,33.0,False,PHI-2004,40742000,5820285.714285715,4500000.0,4590755.446702489
Portland Trail Blazers,2004,POR,41.0,False,POR-2004,74824000,9353000.0,8975000.0,5760739.263075778
Sacramento Kings,2004,SAC,55.0,True,SAC-2004,47777000,6825285.714285715,6250000.0,5375053.727306228
San Antonio Spurs,2004,SAS,57.0,True,SAS-2004,38692000,5527428.571428572,5300000.0,4072893.437395699
Toronto Raptors,2004,TOR,33.0,False,TOR-2004,62870000,5715454.545454546,4500000.0,4537397.962789606
Utah Jazz,2004,UTA,42.0,False,UTA-2004,22914000,5728500.0,5145000.0,5276685.923317147
Washington Wizards,2004,WAS,25.0,False,WAS-2004,32204000,4600571.428571428,5062000.0,1468449.279244702
Atlanta Hawks,2003,ATL,35.0,False,ATL-2003,54529000,4957181.818181818,2775000.0,4098792.18351411
Boston Celtics,2003,BOS,44.0,True,BOS-2003,43703000,5462875.0,3406500.0,4379832.1376020145
Chicago Bulls,2003,CHI,30.0,False,CHI-2003,33836000,3759555.5555555555,2026000.0,3862361.166149248
Cleveland Cavaliers,2003,CLE,17.0,False,CLE-2003,31028000,3447555.5555555555,2222000.0,3491406.275095721
Dallas Mavericks,2003,DAL,60.0,True,DAL-2003,53950000,5994444.444444444,4991000.0,3029995.7141517177
Denver Nuggets,2003,DEN,17.0,False,DEN-2003,33911000,4238875.0,1406500.0,6933040.879677957
Detroit Pistons,2003,DET,50.0,True,DET-2003,41908000,3492333.3333333335,2937500.0,1901245.5885231628
Golden State Warriors,2003,GSW,38.0,False,GSW-2003,34823000,3869222.222222222,4469000.0,2382473.755247777
Houston Rockets,2003,HOU,43.0,False,HOU-2003,41705000,4170500.0,3991500.0,2841689.7262016484
Indiana Pacers,2003,IND,48.0,True,IND-2003,52087000,4006692.3076923075,3226000.0,3376272.411615493
Los Angeles Clippers,2003,LAC,27.0,False,LAC-2003,25449000,2827666.6666666665,2460000.0,1727580.6782897292
Los Angeles Lakers,2003,LAL,50.0,True,LAL-2003,57455000,5745500.0,3370000.0,7106087.503761202
Memphis Grizzlies,2003,MEM,28.0,False,MEM-2003,36122000,4013555.5555555555,3425000.0,1641551.7134034424
Miami Heat,2003,MIA,25.0,False,MIA-2003,29914000,5982800.0,3656000.0,4868502.511039714
Milwaukee Bucks,2003,MIL,42.0,True,MIL-2003,39434000,5633428.571428572,4992000.0,2905652.1274430435
Minnesota Timberwolves,2003,MIN,51.0,True,MIN-2003,42355000,7059166.666666667,3397500.0,8929106.19080469
New York Knicks,2003,NYK,37.0,False,NYK-2003,59885000,5988500.0,5151500.0,3228991.1135076093
Orlando Magic,2003,ORL,42.0,True,ORL-2003,63531000,5775545.454545454,2962000.0,6636137.858176793
Philadelphia 76ers,2003,PHI,48.0,True,PHI-2003,60698000,5518000.0,4500000.0,4201368.872165357
Portland Trail Blazers,2003,POR,50.0,True,POR-2003,77424000,7742400.0,6068500.0,6625256.006793666
Sacramento Kings,2003,SAC,59.0,True,SAC-2003,59297000,4941416.666666667,4063500.0,4105176.387713739
San Antonio Spurs,2003,SAS,60.0,True,SAS-2003,40489000,4048900.0,1090500.0,4737439.567483216
Toronto Raptors,2003,TOR,24.0,False,TOR-2003,39830000,4425555.555555556,3000000.0,4320303.05971442
Utah Jazz,2003,UTA,47.0,True,UTA-2003,51624000,4693090.909090909,2393000.0,5559626.740250562
Washington Wizards,2003,WAS,37.0,False,WAS-2003,27529000,3441125.0,3566500.0,1812713.6278046158
