team,season,abbreviation,w,playoffs,Team_Season,Total_Salary,Mean_Salary,Median_Salary,STD_Salary
Cleveland Cavaliers,2017,CLE,51.0,True,CLE-2017,133411547,7411752.611111111,3668750.0,8891787.779715678
Dallas Mavericks,2017,DAL,33.0,False,DAL-2017,90301164,4104598.3636363638,543471.0,7415363.857040588
Denver Nuggets,2017,DEN,40.0,False,DEN-2017,76824547,4043397.210526316,2194500.0,4336081.43393266
Detroit Pistons,2017,DET,37.0,False,DET-2017,105445268,5549750.947368421,2969880.0,6358567.3130029375
Golden State Warriors,2017,GSW,67.0,True,GSW-2017,103796670,4718030.454545454,980431.0,7080345.224419981
Houston Rockets,2017,HOU,55.0,True,HOU-2017,83497163,5218572.6875,1173600.5,7695661.395357922
Indiana Pacers,2017,IND,42.0,True,IND-2017,90659552,5332914.823529412,2700000.0,5363200.363060791
Los Angeles Clippers,2017,LAC,51.0,True,LAC-2017,114307499,7144218.6875,2865460.0,8032275.120094917
Los Angeles Lakers,2017,LAL,26.0,False,LAL-2017,104892636,4560549.391304348,1733880.0,5113383.699630099
Memphis Grizzlies,2017,MEM,43.0,True,MEM-2017,113616902,5164404.636363637,1417189.5,7796662.175851533
Miami Heat,2017,MIA,41.0,False,MIA-2017,98056960,5447608.888888889,2745720.0,7372888.947008532
Milwaukee Bucks,2017,MIL,42.0,True,MIL-2017,91167498,4143977.1818181816,1607325.5,5224345.165172301
Minnesota Timberwolves,2017,MIN,31.0,False,MIN-2017,86372434,4545917.578947368,3800000.0,3603056.6124206157
New Orleans Pelicans,2017,NOP,34.0,False,NOP-2017,76001066,5066737.733333333,2090000.0,6316107.803480675
New York Knicks,2017,NYK,31.0,False,NYK-2017,99300544,5841208.470588235,1350000.0,7833016.543856549
Oklahoma City Thunder,2017,OKC,47.0,True,OKC-2017,108245839,4329833.56,2183072.0,5956497.344927169
Orlando Magic,2017,ORL,29.0,False,ORL-2017,96406104,5074005.47368421,2613600.0,5864709.467775358
Philadelphia 76ers,2017,PHI,28.0,False,PHI-2017,79724465,3066325.576923077,1423700.0,3093720.588313226
Portland Trail Blazers,2017,POR,41.0,True,POR-2017,114615831,6367546.166666667,2985469.5,6982971.210406711
Sacramento Kings,2017,SAC,32.0,False,SAC-2017,108146859,5149850.428571428,3551160.0,4850101.591069104
San Antonio Spurs,2017,SAS,61.0,True,SAS-2017,119115848,5178949.9130434785,1192080.0,6563285.418688868
Toronto Raptors,2017,TOR,51.0,True,TOR-2017,126245354,6011683.523809524,2703960.0,6773259.662778806
Utah Jazz,2017,UTA,51.0,True,UTA-2017,83270997,4382684.052631579,2150000.0,4686992.946352899
Washington Wizards,2017,WAS,49.0,True,WAS-2017,116289277,5814463.85,3638826.5,6194864.64279974
Atlanta Hawks,2016,ATL,48.0,True,ATL-2016,70520379,4701358.6,2000000.0,5295309.67880506
Boston Celtics,2016,BOS,48.0,True,BOS-2016,60772386,3798274.125,2593117.5,3117844.310259956
Chicago Bulls,2016,CHI,42.0,False,CHI-2016,89638318,5602394.875,2617690.0,6083404.341437163
Cleveland Cavaliers,2016,CLE,57.0,True,CLE-2016,100476799,7176914.214285715,3525000.0,7882925.370416758
Dallas Mavericks,2016,DAL,42.0,True,DAL-2016,72671101,4274770.647058823,2085671.0,4890828.761697384
Denver Nuggets,2016,DEN,33.0,False,DEN-2016,48686693,3477620.9285714286,1775859.5,4067378.273722852
Detroit Pistons,2016,DET,44.0,True,DET-2016,55343307,3458956.6875,2670980.0,3321598.260312942
Golden State Warriors,2016,GSW,73.0,True,GSW-2016,89816273,5613517.0625,3157500.0,5611907.630988837
Houston Rockets,2016,HOU,41.0,True,HOU-2016,79585834,4681519.647058823,2288205.0,6102693.4261459
Indiana Pacers,2016,IND,45.0,True,IND-2016,67699102,4231193.875,3178880.0,4514803.790000224
Los Angeles Clippers,2016,LAC,53.0,True,LAC-2016,87167337,5447958.5625,1130141.0,7494159.965990878
